Date	Open	High	Low	Close*	Adj Close**	Volume
May 17, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	109,327
May 16, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	118,082
May 15, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	98,803
May 14, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	142,382
May 13, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	336,712
May 12, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	222,479
May 11, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	71,368
May 10, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	76,419
May 09, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	75,340
May 08, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	46,960
May 07, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	83,754
May 06, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	92,250
May 05, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	149,567
May 04, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	71,238
May 03, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	95,400
May 02, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	93,858
May 01, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	57,744
Apr 30, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	78,879
Apr 29, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	95,090
Apr 28, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	131,177
Apr 27, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	164,060
Apr 26, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	154,354
Apr 25, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	200,268
Apr 24, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	144,668
Apr 23, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	100,389
Apr 22, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	54,837
Apr 21, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	108,092
Apr 20, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	108,274
Apr 19, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	106,188
Apr 18, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	136,890
Apr 17, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	81,586
Apr 16, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	76,420
Apr 15, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	131,113
Apr 14, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	184,092
Apr 13, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	292,317
Apr 12, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	345,682
Apr 11, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	173,354
Apr 10, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	254,353
Apr 09, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	95,135
Apr 08, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	149,434
Apr 07, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	125,769
Apr 06, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	127,899
Apr 05, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	164,210
Apr 04, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	100,592
Apr 03, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	143,700
Apr 02, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	126,287
Apr 01, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	151,122
Mar 31, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	256,164
Mar 30, 2016	0.0003	0.0003	0.0002	0.0002	0.0002	587,060
Mar 29, 2016	0.0002	0.0003	0.0002	0.0003	0.0003	1,369,190
Mar 28, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	142,163
Mar 27, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	152,500
Mar 26, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	88,577
Mar 25, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	107,350
Mar 24, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	170,035
Mar 23, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	155,957
Mar 22, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	173,999
Mar 21, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	103,947
Mar 20, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	157,716
Mar 19, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	150,147
Mar 18, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	232,018
Mar 17, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	174,946
Mar 16, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	200,814
Mar 15, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	162,928
Mar 14, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	210,586
Mar 13, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	184,872
Mar 12, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	226,598
Mar 11, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	313,735
Mar 10, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	353,758
Mar 09, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	212,405
Mar 08, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	127,965
Mar 07, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	278,612
Mar 06, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	186,326
Mar 05, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	216,091
Mar 04, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	135,462
Mar 03, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	150,983
Mar 02, 2016	0.0002	0.0003	0.0002	0.0002	0.0002	119,044
Mar 01, 2016	0.0002	0.0003	0.0002	0.0002	0.0002	104,087
Feb 29, 2016	0.0003	0.0003	0.0002	0.0002	0.0002	157,905
Feb 28, 2016	0.0003	0.0003	0.0002	0.0003	0.0003	251,988
Feb 27, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	161,860
Feb 26, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	228,326
Feb 25, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	173,164
Feb 24, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	134,062
Feb 23, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	164,273
Feb 22, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	122,982
Feb 21, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	171,886
Feb 20, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	267,709
Feb 19, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	419,137
